id,product,category,price,quantity,date
1,Laptop,Electronics,2500,1,2026-01-03
2,Mouse,Accessories,80,3,2026-01-04
3,Keyboard,Accessories,150,2,2026-01-05
4,Monitor,Electronics,900,2,2026-01-08
5,Headphones,Accessories,300,1,2026-01-10
6,Laptop,Electronics,2500,1,2026-01-12
7,Phone,Electronics,3200,2,2026-01-15
8,Mouse,Accessories,80,5,2026-01-18
9,Tablet,Electronics,1800,1,2026-01-20
10,Keyboard,Accessories,150,3,2026-01-22
11,Monitor,Electronics,900,1,2026-02-02
12,Phone,Electronics,3200,1,2026-02-04
13,Headphones,Accessories,300,4,2026-02-07
14,Laptop,Electronics,2500,2,2026-02-10
15,Mouse,Accessories,80,6,2026-02-12
16,Tablet,Electronics,1800,2,2026-02-15
17,Keyboard,Accessories,150,4,2026-02-18
18,Monitor,Electronics,900,3,2026-02-20
19,Phone,Electronics,3200,1,2026-02-23
20,Headphones,Accessories,300,2,2026-02-25
21,Laptop,Electronics,2500,1,2026-03-01
22,Mouse,Accessories,80,8,2026-03-03
23,Tablet,Electronics,1800,1,2026-03-05
24,Monitor,Electronics,900,2,2026-03-08
25,Keyboard,Accessories,150,5,2026-03-10
26,Phone,Electronics,3200,2,2026-03-12
27,Headphones,Accessories,300,3,2026-03-15
28,Laptop,Electronics,2500,2,2026-03-18
29,Mouse,Accessories,80,4,2026-03-20
30,Monitor,Electronics,900,1,2026-03-22
31,Tablet,Electronics,1800,3,2026-03-25
32,Keyboard,Accessories,150,2,2026-03-27
33,Phone,Electronics,3200,1,2026-03-29
34,Headphones,Accessories,300,5,2026-03-30
35,Laptop,Electronics,2500,1,2026-04-02
36,Mouse,Accessories,80,7,2026-04-04
37,Monitor,Electronics,900,2,2026-04-07
38,Tablet,Electronics,1800,2,2026-04-10
39,Keyboard,Accessories,150,6,2026-04-12
40,Phone,Electronics,3200,1,2026-04-15
